RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTLabel,Best Subset Accuracy,500,25,2,,,,0.3292,0.0626,0.4428,0.4360,0.4194,0.4275,0.3797,0.2488,0.2521,
RDTPercentage,Best Subset Accuracy,500,45,2,,,,0.4534,0.0541,0.4658,0.7500,0.0440,0.0831,0.0803,0.0178,0.0290,
RDTLabelPowerset,Best Subset Accuracy,500,30,2,,,,0.4658,0.0495,0.5087,0.7436,0.1701,0.2768,0.5750,0.1590,0.2378,
RDTChainLabel,Best Subset Accuracy,500,30,2,0.5,,,0.4286,0.0579,0.5066,0.4663,0.2639,0.3371,0.2571,0.1155,0.1210,
RDTChainPercentage,Best Subset Accuracy,500,25,2,0.05,,,0.4534,0.0544,0.4633,0.7857,0.0323,0.0620,0.0830,0.0118,0.0206,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,500,5,2,0.4,0.0,,0.0404,0.0873,0.1054,0.2085,0.2023,0.2054,0.0397,0.0602,0.0295,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,500,10,2,0.4,0.25,,0.0466,0.0883,0.1274,0.2442,0.2786,0.2603,0.1330,0.1028,0.0686,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,500,15,2,0.4,0.5,,0.0497,0.0876,0.1352,0.2569,0.3021,0.2776,0.1539,0.1214,0.0950,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,25,2,0.4,0.75,,0.0621,0.0868,0.1482,0.2660,0.3167,0.2892,0.1838,0.1398,0.1169,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,25,2,0.4,1.0,,0.4068,0.0588,0.4927,0.4581,0.3050,0.3662,0.2751,0.1440,0.1530,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,500,5,2,0.4,0.0,,0.4441,0.0557,0.4441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,500,5,2,0.4,0.25,,0.4441,0.0557,0.4441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,500,5,2,0.4,0.5,,0.4441,0.0557,0.4441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,5,2,0.4,0.75,,0.4441,0.0557,0.4441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,45,2,0.4,1.0,,0.4503,0.0546,0.4578,0.8889,0.0235,0.0457,0.0921,0.0086,0.0157,

RDTLabel,Best Hamming Loss,500,25,2,,,,0.3292,0.0626,0.4428,0.4360,0.4194,0.4275,0.3797,0.2488,0.2521,
RDTPercentage,Best Hamming Loss,500,25,2,,,,0.4472,0.0539,0.4653,0.7619,0.0469,0.0884,0.0825,0.0166,0.0275,
RDTLabelPowerset,Best Hamming Loss,500,30,2,,,,0.4658,0.0495,0.5087,0.7436,0.1701,0.2768,0.5750,0.1590,0.2378,
RDTChainLabel,Best Hamming Loss,500,30,2,0.5,,,0.4286,0.0579,0.5066,0.4663,0.2639,0.3371,0.2571,0.1155,0.1210,
RDTChainPercentage,Best Hamming Loss,500,45,2,0.05,,,0.4503,0.0538,0.4643,0.9286,0.0381,0.0732,0.0947,0.0134,0.0235,
