RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTLabel,Best Subset Accuracy,500,15,2,,,,0.1783,0.2547,0.6030,0.7392,0.7392,0.7392,0.6442,0.6081,0.6059,
RDTPercentage,Best Subset Accuracy,500,10,2,,,,0.1705,0.2447,0.6069,0.7535,0.7415,0.7474,0.6689,0.6099,0.6165,
RDTLabelPowerset,Best Subset Accuracy,500,5,2,,,,0.2093,0.2901,0.5646,0.7096,0.6871,0.6982,0.6105,0.5763,0.5875,
RDTChainLabel,Best Subset Accuracy,500,40,2,0.4,,,0.2791,0.2281,0.6482,0.7677,0.7642,0.7659,0.7629,0.6267,0.6344,
RDTChainPercentage,Best Subset Accuracy,500,45,2,0.4,,,0.2558,0.2326,0.6341,0.7667,0.7528,0.7597,0.7270,0.6189,0.6325,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,500,25,2,0.4,0.0,,0.1860,0.2536,0.6111,0.7488,0.7234,0.7359,0.6040,0.5572,0.5424,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,500,30,2,0.4,0.25,,0.2171,0.2447,0.6265,0.7570,0.7347,0.7457,0.6390,0.5695,0.5578,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,500,15,2,0.4,0.5,,0.2326,0.2470,0.6246,0.7535,0.7347,0.7440,0.6552,0.5758,0.5700,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,20,2,0.4,0.75,,0.2558,0.2326,0.6429,0.7667,0.7528,0.7597,0.6569,0.5956,0.5889,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,40,2,0.4,1.0,,0.2791,0.2281,0.6482,0.7677,0.7642,0.7659,0.7629,0.6267,0.6344,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,500,30,2,0.4,0.0,,0.1550,0.2458,0.6095,0.7552,0.7347,0.7448,0.6767,0.5680,0.5488,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,500,10,2,0.4,0.25,,0.1860,0.2425,0.6161,0.7618,0.7324,0.7468,0.7664,0.5719,0.5688,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,500,30,2,0.4,0.5,,0.2248,0.2458,0.6217,0.7494,0.7460,0.7477,0.6995,0.5911,0.5855,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,20,2,0.4,0.75,,0.2403,0.2292,0.6460,0.7671,0.7619,0.7645,0.6908,0.6126,0.6121,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,45,2,0.4,1.0,,0.2558,0.2326,0.6341,0.7667,0.7528,0.7597,0.7270,0.6189,0.6325,

RDTLabel,Best Hamming Loss,500,20,2,,,,0.1628,0.2536,0.6027,0.7387,0.7438,0.7412,0.6385,0.6178,0.6145,
RDTPercentage,Best Hamming Loss,500,5,2,,,,0.1550,0.2425,0.6084,0.7630,0.7302,0.7462,0.6374,0.5754,0.5752,
RDTLabelPowerset,Best Hamming Loss,500,35,2,,,,0.2016,0.2846,0.5702,0.7140,0.6961,0.7049,0.6157,0.5999,0.6051,
RDTChainLabel,Best Hamming Loss,500,30,2,0.35,,,0.2403,0.2270,0.6492,0.7682,0.7664,0.7673,0.7254,0.6204,0.6205,
RDTChainPercentage,Best Hamming Loss,500,45,2,0.4,,,0.2558,0.2326,0.6341,0.7667,0.7528,0.7597,0.7270,0.6189,0.6325,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Hamming Loss,500,25,2,0.4,0.0,,0.1860,0.2536,0.6111,0.7488,0.7234,0.7359,0.6040,0.5572,0.5424,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Hamming Loss,500,20,2,0.4,0.25,,0.2093,0.2392,0.6318,0.7622,0.7415,0.7517,0.6224,0.5745,0.5597,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Hamming Loss,500,25,2,0.4,0.5,,0.2248,0.2403,0.6305,0.7593,0.7438,0.7514,0.6532,0.5822,0.5712,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Hamming Loss,500,20,2,0.4,0.75,,0.2558,0.2326,0.6429,0.7667,0.7528,0.7597,0.6569,0.5956,0.5889,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Hamming Loss,500,40,2,0.4,1.0,,0.2791,0.2281,0.6482,0.7677,0.7642,0.7659,0.7629,0.6267,0.6344,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Hamming Loss,500,25,2,0.4,0.0,,0.1395,0.2403,0.6090,0.7679,0.7279,0.7474,0.6921,0.5613,0.5503,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Hamming Loss,500,20,2,0.4,0.25,,0.1860,0.2381,0.6189,0.7640,0.7415,0.7526,0.7160,0.5812,0.5759,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Hamming Loss,500,20,2,0.4,0.5,,0.2093,0.2370,0.6277,0.7585,0.7551,0.7568,0.7134,0.6027,0.5992,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Hamming Loss,500,20,2,0.4,0.75,,0.2403,0.2292,0.6460,0.7671,0.7619,0.7645,0.6908,0.6126,0.6121,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Hamming Loss,500,45,2,0.4,1.0,,0.2558,0.2326,0.6341,0.7667,0.7528,0.7597,0.7270,0.6189,0.6325,

RDTLabel,Best Example-Based Accuracy,500,5,2,,,,0.1705,0.2558,0.6062,0.7397,0.7347,0.7372,0.5940,0.5780,0.5633,
RDTPercentage,Best Example-Based Accuracy,500,5,2,,,,0.1550,0.2425,0.6084,0.7630,0.7302,0.7462,0.6374,0.5754,0.5752,
RDTLabelPowerset,Best Example-Based Accuracy,500,35,2,,,,0.2016,0.2846,0.5702,0.7140,0.6961,0.7049,0.6157,0.5999,0.6051,
RDTChainLabel,Best Example-Based Accuracy,500,30,2,0.35,,,0.2403,0.2270,0.6492,0.7682,0.7664,0.7673,0.7254,0.6204,0.6205,
RDTChainPercentage,Best Example-Based Accuracy,500,20,2,0.35,,,0.2403,0.2337,0.6356,0.7638,0.7551,0.7594,0.6873,0.6174,0.6236,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Example-Based Accuracy,500,25,2,0.4,0.0,,0.1860,0.2536,0.6111,0.7488,0.7234,0.7359,0.6040,0.5572,0.5424,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Example-Based Accuracy,500,20,2,0.4,0.25,,0.2093,0.2392,0.6318,0.7622,0.7415,0.7517,0.6224,0.5745,0.5597,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Example-Based Accuracy,500,10,2,0.4,0.5,,0.2248,0.2403,0.6318,0.7617,0.7392,0.7503,0.6554,0.5741,0.5616,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Example-Based Accuracy,500,10,2,0.4,0.75,,0.2481,0.2337,0.6433,0.7674,0.7483,0.7577,0.6520,0.5878,0.5812,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Example-Based Accuracy,500,40,2,0.4,1.0,,0.2791,0.2281,0.6482,0.7677,0.7642,0.7659,0.7629,0.6267,0.6344,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Example-Based Accuracy,500,45,2,0.4,0.0,,0.1550,0.2425,0.6102,0.7618,0.7324,0.7468,0.6843,0.5656,0.5502,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Example-Based Accuracy,500,20,2,0.4,0.25,,0.1860,0.2381,0.6189,0.7640,0.7415,0.7526,0.7160,0.5812,0.5759,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Example-Based Accuracy,500,10,2,0.4,0.5,,0.2093,0.2403,0.6300,0.7557,0.7506,0.7531,0.6890,0.5923,0.5819,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Example-Based Accuracy,500,20,2,0.4,0.75,,0.2403,0.2292,0.6460,0.7671,0.7619,0.7645,0.6908,0.6126,0.6121,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Example-Based Accuracy,500,50,2,0.4,1.0,,0.2481,0.2326,0.6354,0.7667,0.7528,0.7597,0.7136,0.6131,0.6235,

RDTLabel,Best Micro-averaged Precision,500,5,2,,,,0.1705,0.2558,0.6062,0.7397,0.7347,0.7372,0.5940,0.5780,0.5633,
RDTPercentage,Best Micro-averaged Precision,500,5,2,,,,0.1550,0.2425,0.6084,0.7630,0.7302,0.7462,0.6374,0.5754,0.5752,
RDTLabelPowerset,Best Micro-averaged Precision,500,35,2,,,,0.2016,0.2846,0.5702,0.7140,0.6961,0.7049,0.6157,0.5999,0.6051,
RDTChainLabel,Best Micro-averaged Precision,500,30,2,0.35,,,0.2403,0.2270,0.6492,0.7682,0.7664,0.7673,0.7254,0.6204,0.6205,
RDTChainPercentage,Best Micro-averaged Precision,500,45,2,0.4,,,0.2558,0.2326,0.6341,0.7667,0.7528,0.7597,0.7270,0.6189,0.6325,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Micro-averaged Precision,500,25,2,0.4,0.0,,0.1860,0.2536,0.6111,0.7488,0.7234,0.7359,0.6040,0.5572,0.5424,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Micro-averaged Precision,500,20,2,0.4,0.25,,0.2093,0.2392,0.6318,0.7622,0.7415,0.7517,0.6224,0.5745,0.5597,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Micro-averaged Precision,500,10,2,0.4,0.5,,0.2248,0.2403,0.6318,0.7617,0.7392,0.7503,0.6554,0.5741,0.5616,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Micro-averaged Precision,500,10,2,0.4,0.75,,0.2481,0.2337,0.6433,0.7674,0.7483,0.7577,0.6520,0.5878,0.5812,
