RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTLabel,Best Subset Accuracy,500,35,2,,,,0.1927,0.2077,0.5245,0.6642,0.6317,0.6475,0.4614,0.3674,0.3414,
RDTPercentage,Best Subset Accuracy,500,25,2,,,,0.0760,0.2127,0.4040,0.7595,0.4327,0.5513,0.4135,0.2070,0.2244,
RDTLabelPowerset,Best Subset Accuracy,500,35,2,,,,0.1987,0.2443,0.4687,0.6014,0.5661,0.5832,0.3851,0.3532,0.3553,
RDTChainLabel,Best Subset Accuracy,500,25,2,0.2,,,0.2260,0.2070,0.5333,0.6662,0.6302,0.6477,0.4008,0.3690,0.3421,
RDTChainPercentage,Best Subset Accuracy,500,30,2,0.3,,,0.2160,0.2124,0.5151,0.6633,0.6028,0.6316,0.4045,0.3480,0.3229,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,500,20,2,0.4,0.0,,0.1107,0.2329,0.4691,0.6196,0.5930,0.6060,0.3901,0.3266,0.2810,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,500,20,2,0.4,0.25,,0.1373,0.2275,0.4809,0.6301,0.5971,0.6132,0.4035,0.3304,0.2880,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,500,15,2,0.4,0.5,,0.1633,0.2247,0.4919,0.6353,0.6011,0.6177,0.3374,0.3366,0.2962,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,20,2,0.4,0.75,,0.2000,0.2230,0.5033,0.6381,0.6041,0.6206,0.4041,0.3448,0.3070,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,30,2,0.4,1.0,,0.1973,0.2255,0.5005,0.6338,0.6000,0.6164,0.3987,0.3452,0.3066,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,500,5,2,0.4,0.0,,0.0127,0.2311,0.3344,0.7480,0.3538,0.4804,0.1069,0.1429,0.1223,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,500,15,2,0.4,0.25,,0.0147,0.2300,0.3387,0.7499,0.3579,0.4846,0.2497,0.1464,0.1291,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,500,15,2,0.4,0.5,,0.0533,0.2226,0.3652,0.7584,0.3857,0.5113,0.3546,0.1703,0.1708,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,20,2,0.4,0.75,,0.1720,0.2109,0.4767,0.6917,0.5445,0.6093,0.4246,0.2975,0.2890,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,30,2,0.4,1.0,,0.1973,0.2253,0.5005,0.6344,0.5995,0.6165,0.3987,0.3448,0.3063,

RDTLabel,Best Hamming Loss,500,35,2,,,,0.1927,0.2077,0.5245,0.6642,0.6317,0.6475,0.4614,0.3674,0.3414,
RDTPercentage,Best Hamming Loss,500,35,2,,,,0.0760,0.2121,0.4052,0.7614,0.4333,0.5523,0.4203,0.2076,0.2257,
RDTLabelPowerset,Best Hamming Loss,500,20,2,,,,0.1960,0.2374,0.4795,0.6135,0.5782,0.5953,0.3889,0.3617,0.3622,
RDTChainLabel,Best Hamming Loss,500,35,2,0.1,,,0.2000,0.2059,0.5295,0.6682,0.6325,0.6498,0.4081,0.3683,0.3420,
RDTChainPercentage,Best Hamming Loss,500,25,2,0.2,,,0.1887,0.2000,0.4833,0.7282,0.5389,0.6194,0.4391,0.2954,0.3085,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Hamming Loss,500,20,2,0.4,0.0,,0.1107,0.2329,0.4691,0.6196,0.5930,0.6060,0.3901,0.3266,0.2810,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Hamming Loss,500,20,2,0.4,0.25,,0.1373,0.2275,0.4809,0.6301,0.5971,0.6132,0.4035,0.3304,0.2880,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Hamming Loss,500,20,2,0.4,0.5,,0.1613,0.2222,0.4950,0.6397,0.6052,0.6219,0.3409,0.3392,0.3000,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Hamming Loss,500,30,2,0.4,0.75,,0.1933,0.2191,0.5080,0.6449,0.6108,0.6274,0.4063,0.3486,0.3116,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Hamming Loss,500,40,2,0.4,1.0,,0.1953,0.2253,0.5015,0.6339,0.6008,0.6169,0.3973,0.3463,0.3081,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Hamming Loss,500,45,2,0.4,0.0,,0.0127,0.2311,0.3346,0.7481,0.3540,0.4806,0.1783,0.1430,0.1225,
