RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTLabel,Best Subset Accuracy,500,25,2,,,,0.3292,0.0626,0.4428,0.4360,0.4194,0.4275,0.3797,0.2488,0.2521,
RDTPercentage,Best Subset Accuracy,500,45,2,,,,0.4534,0.0541,0.4658,0.7500,0.0440,0.0831,0.0803,0.0178,0.0290,
RDTLabelPowerset,Best Subset Accuracy,500,30,2,,,,0.4658,0.0497,0.5087,0.7342,0.1701,0.2762,0.5750,0.1590,0.2378,
RDTChainLabel,Best Subset Accuracy,500,45,2,0.3,,,0.3602,0.0642,0.4541,0.4133,0.3636,0.3869,0.3006,0.1903,0.1906,
RDTChainPercentage,Best Subset Accuracy,500,25,2,0.05,,,0.4534,0.0544,0.4633,0.7857,0.0323,0.0620,0.0830,0.0118,0.0206,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,500,50,2,0.4,0.0,,0.0248,0.1250,0.1331,0.1873,0.3724,0.2493,0.1269,0.1754,0.1119,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,500,5,2,0.4,0.25,,0.0311,0.1210,0.1273,0.1787,0.3255,0.2308,0.0843,0.1295,0.0575,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,500,5,2,0.4,0.5,,0.0342,0.1031,0.1245,0.2112,0.3109,0.2515,0.0358,0.1195,0.0542,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,5,2,0.4,0.75,,0.0528,0.0879,0.1266,0.2401,0.2669,0.2528,0.0556,0.0948,0.0596,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,45,2,0.4,1.0,,0.3478,0.0639,0.4389,0.4094,0.3314,0.3663,0.2120,0.1583,0.1539,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,500,5,2,0.4,0.0,,0.4441,0.0557,0.4441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,500,5,2,0.4,0.25,,0.4441,0.0557,0.4441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,500,5,2,0.4,0.5,,0.4441,0.0557,0.4441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,5,2,0.4,0.75,,0.4441,0.0557,0.4441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,35,2,0.4,1.0,,0.4503,0.0549,0.4552,0.8571,0.0176,0.0345,0.0921,0.0070,0.0128,

RDTLabel,Best Hamming Loss,500,25,2,,,,0.3292,0.0626,0.4428,0.4360,0.4194,0.4275,0.3797,0.2488,0.2521,
RDTPercentage,Best Hamming Loss,500,25,2,,,,0.4472,0.0539,0.4653,0.7619,0.0469,0.0884,0.0825,0.0166,0.0275,
RDTLabelPowerset,Best Hamming Loss,500,30,2,,,,0.4658,0.0497,0.5087,0.7342,0.1701,0.2762,0.5750,0.1590,0.2378,
RDTChainLabel,Best Hamming Loss,500,40,2,0.3,,,0.3571,0.0626,0.4553,0.4300,0.3783,0.4025,0.2391,0.1919,0.1856,
RDTChainPercentage,Best Hamming Loss,500,35,2,0.05,,,0.4503,0.0539,0.4630,0.8667,0.0381,0.0730,0.0912,0.0148,0.0253,
