RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTLabel,Best Subset Accuracy,500,30,2,,,,0.2506,0.2144,0.5454,0.6345,0.6855,0.6590,0.6273,0.6464,0.6182,
RDTPercentage,Best Subset Accuracy,500,20,2,,,,0.2379,0.1978,0.4412,0.7855,0.4753,0.5923,0.8417,0.4400,0.5190,
RDTLabelPowerset,Best Subset Accuracy,500,10,2,,,,0.3657,0.1982,0.5873,0.6572,0.7193,0.6869,0.6533,0.7010,0.6712,
RDTChainLabel,Best Subset Accuracy,500,25,2,0.2,,,0.3120,0.2003,0.5759,0.6644,0.6812,0.6727,0.6373,0.6442,0.6236,
RDTChainPercentage,Best Subset Accuracy,500,25,2,0.3,,,0.3683,0.1790,0.5916,0.7134,0.6812,0.6970,0.7125,0.6529,0.6598,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,500,25,2,0.4,0.0,,0.1765,0.2826,0.4408,0.5294,0.5839,0.5553,0.5802,0.5418,0.5325,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,500,30,2,0.4,0.25,,0.2020,0.2502,0.4879,0.5780,0.6375,0.6063,0.6301,0.5948,0.5813,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,500,30,2,0.4,0.5,,0.2225,0.2383,0.5087,0.5959,0.6573,0.6251,0.6153,0.6149,0.5945,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,20,2,0.4,0.75,,0.2532,0.2263,0.5309,0.6174,0.6601,0.6380,0.6020,0.6202,0.5999,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,30,2,0.4,1.0,,0.2890,0.2225,0.5426,0.6286,0.6446,0.6365,0.6004,0.6135,0.5955,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,500,5,2,0.4,0.25,,0.0179,0.2899,0.0597,0.7377,0.0635,0.1169,0.1230,0.0446,0.0655,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,500,15,2,0.4,0.5,,0.0716,0.2639,0.1965,0.7394,0.1961,0.3099,0.5365,0.1430,0.1559,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,15,2,0.4,0.75,,0.1944,0.2272,0.4133,0.7095,0.4203,0.5279,0.7155,0.3611,0.4163,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,10,2,0.4,1.0,,0.3581,0.1948,0.5768,0.6755,0.6841,0.6797,0.6635,0.6610,0.6501,

RDTLabel,Best Hamming Loss,500,30,2,,,,0.2506,0.2144,0.5454,0.6345,0.6855,0.6590,0.6273,0.6464,0.6182,
RDTPercentage,Best Hamming Loss,500,20,2,,,,0.2379,0.1978,0.4412,0.7855,0.4753,0.5923,0.8417,0.4400,0.5190,
RDTLabelPowerset,Best Hamming Loss,500,25,2,,,,0.3581,0.1974,0.5821,0.6623,0.7080,0.6844,0.6584,0.6906,0.6684,
RDTChainLabel,Best Hamming Loss,500,25,2,0.2,,,0.3120,0.2003,0.5759,0.6644,0.6812,0.6727,0.6373,0.6442,0.6236,
RDTChainPercentage,Best Hamming Loss,500,35,2,0.2,,,0.3478,0.1760,0.5725,0.7395,0.6446,0.6888,0.7531,0.6106,0.6385,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Hamming Loss,500,30,2,0.4,0.0,,0.1714,0.2698,0.4550,0.5486,0.6051,0.5755,0.6054,0.5625,0.5545,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Hamming Loss,500,30,2,0.4,0.25,,0.2020,0.2502,0.4879,0.5780,0.6375,0.6063,0.6301,0.5948,0.5813,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Hamming Loss,500,30,2,0.4,0.5,,0.2225,0.2383,0.5087,0.5959,0.6573,0.6251,0.6153,0.6149,0.5945,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Hamming Loss,500,15,2,0.4,0.75,,0.2353,0.2259,0.5271,0.6173,0.6643,0.6399,0.5945,0.6227,0.5959,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Hamming Loss,500,20,2,0.4,1.0,,0.2813,0.2191,0.5439,0.6337,0.6516,0.6426,0.5999,0.6217,0.5981,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Hamming Loss,500,5,2,0.4,0.0,,0.0000,0.2984,0.0136,0.8462,0.0155,0.0305,0.1410,0.0109,0.0203,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Hamming Loss,500,10,2,0.4,0.25,,0.0179,0.2890,0.0550,0.8039,0.0578,0.1079,0.1340,0.0407,0.0624,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Hamming Loss,500,15,2,0.4,0.5,,0.0716,0.2639,0.1965,0.7394,0.1961,0.3099,0.5365,0.1430,0.1559,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Hamming Loss,500,15,2,0.4,0.75,,0.1944,0.2272,0.4133,0.7095,0.4203,0.5279,0.7155,0.3611,0.4163,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Hamming Loss,500,20,2,0.4,1.0,,0.3478,0.1910,0.5777,0.6841,0.6841,0.6841,0.6709,0.6594,0.6467,

RDTLabel,Best Example-Based Accuracy,500,30,2,,,,0.2506,0.2144,0.5454,0.6345,0.6855,0.6590,0.6273,0.6464,0.6182,
RDTPercentage,Best Example-Based Accuracy,500,20,2,,,,0.2379,0.1978,0.4412,0.7855,0.4753,0.5923,0.8417,0.4400,0.5190,
RDTLabelPowerset,Best Example-Based Accuracy,500,10,2,,,,0.3657,0.1982,0.5873,0.6572,0.7193,0.6869,0.6533,0.7010,0.6712,
RDTChainLabel,Best Example-Based Accuracy,500,25,2,0.2,,,0.3120,0.2003,0.5759,0.6644,0.6812,0.6727,0.6373,0.6442,0.6236,
RDTChainPercentage,Best Example-Based Accuracy,500,25,2,0.3,,,0.3683,0.1790,0.5916,0.7134,0.6812,0.6970,0.7125,0.6529,0.6598,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Example-Based Accuracy,500,30,2,0.4,0.0,,0.1714,0.2698,0.4550,0.5486,0.6051,0.5755,0.6054,0.5625,0.5545,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Example-Based Accuracy,500,30,2,0.4,0.25,,0.2020,0.2502,0.4879,0.5780,0.6375,0.6063,0.6301,0.5948,0.5813,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Example-Based Accuracy,500,30,2,0.4,0.5,,0.2225,0.2383,0.5087,0.5959,0.6573,0.6251,0.6153,0.6149,0.5945,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Example-Based Accuracy,500,20,2,0.4,0.75,,0.2532,0.2263,0.5309,0.6174,0.6601,0.6380,0.6020,0.6202,0.5999,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Example-Based Accuracy,500,20,2,0.4,1.0,,0.2813,0.2191,0.5439,0.6337,0.6516,0.6426,0.5999,0.6217,0.5981,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Example-Based Accuracy,500,5,2,0.4,0.0,,0.0000,0.2984,0.0136,0.8462,0.0155,0.0305,0.1410,0.0109,0.0203,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Example-Based Accuracy,500,5,2,0.4,0.25,,0.0179,0.2899,0.0597,0.7377,0.0635,0.1169,0.1230,0.0446,0.0655,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Example-Based Accuracy,500,15,2,0.4,0.5,,0.0716,0.2639,0.1965,0.7394,0.1961,0.3099,0.5365,0.1430,0.1559,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Example-Based Accuracy,500,15,2,0.4,0.75,,0.1944,0.2272,0.4133,0.7095,0.4203,0.5279,0.7155,0.3611,0.4163,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Example-Based Accuracy,500,30,2,0.4,1.0,,0.3555,0.1948,0.5810,0.6750,0.6855,0.6802,0.6674,0.6625,0.6510,

RDTLabel,Best Micro-averaged Precision,500,30,2,,,,0.2506,0.2144,0.5454,0.6345,0.6855,0.6590,0.6273,0.6464,0.6182,
RDTPercentage,Best Micro-averaged Precision,500,20,2,,,,0.2379,0.1978,0.4412,0.7855,0.4753,0.5923,0.8417,0.4400,0.5190,
RDTLabelPowerset,Best Micro-averaged Precision,500,25,2,,,,0.3581,0.1974,0.5821,0.6623,0.7080,0.6844,0.6584,0.6906,0.6684,
RDTChainLabel,Best Micro-averaged Precision,500,25,2,0.2,,,0.3120,0.2003,0.5759,0.6644,0.6812,0.6727,0.6373,0.6442,0.6236,
RDTChainPercentage,Best Micro-averaged Precision,500,15,2,0.05,,,0.2583,0.2033,0.4518,0.7589,0.4795,0.5877,0.8369,0.4350,0.5028,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Micro-averaged Precision,500,30,2,0.4,0.0,,0.1714,0.2698,0.4550,0.5486,0.6051,0.5755,0.6054,0.5625,0.5545,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Micro-averaged Precision,500,30,2,0.4,0.25,,0.2020,0.2502,0.4879,0.5780,0.6375,0.6063,0.6301,0.5948,0.5813,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Micro-averaged Precision,500,30,2,0.4,0.5,,0.2225,0.2383,0.5087,0.5959,0.6573,0.6251,0.6153,0.6149,0.5945,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Micro-averaged Precision,500,20,2,0.4,0.75,,0.2532,0.2263,0.5309,0.6174,0.6601,0.6380,0.6020,0.6202,0.5999,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Micro-averaged Precision,500,20,2,0.4,1.0,,0.2813,0.2191,0.5439,0.6337,0.6516,0.6426,0.5999,0.6217,0.5981,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Micro-averaged Precision,500,20,2,0.4,0.0,,0.0000,0.2997,0.0077,1.0000,0.0085,0.0168,0.1667,0.0060,0.0115,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Micro-averaged Precision,500,30,2,0.4,0.25,,0.0102,0.2924,0.0392,0.8108,0.0423,0.0804,0.1351,0.0298,0.0488,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Micro-averaged Precision,500,15,2,0.4,0.5,,0.0716,0.2639,0.1965,0.7394,0.1961,0.3099,0.5365,0.1430,0.1559,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged Precision,500,5,2,0.4,0.75,,0.1049,0.2545,0.2587,0.7121,0.2652,0.3864,0.6794,0.2052,0.2379,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged Precision,500,5,2,0.4,1.0,,0.2506,0.2144,0.4672,0.7102,0.4908,0.5805,0.6618,0.4287,0.4589,

RDTLabel,Best Micro-averaged Recall,500,15,2,,,,0.2481,0.2148,0.5445,0.6336,0.6855,0.6585,0.6244,0.6447,0.6153,
RDTPercentage,Best Micro-averaged Recall,500,20,2,,,,0.2379,0.1978,0.4412,0.7855,0.4753,0.5923,0.8417,0.4400,0.5190,
