RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTLabel,Best Subset Accuracy,500,15,2,,,,0.1783,0.2547,0.6030,0.7392,0.7392,0.7392,0.6445,0.6081,0.6060,
RDTPercentage,Best Subset Accuracy,500,10,2,,,,0.1705,0.2447,0.6069,0.7535,0.7415,0.7474,0.6689,0.6099,0.6165,
RDTLabelPowerset,Best Subset Accuracy,500,5,2,,,,0.2093,0.2913,0.5633,0.7079,0.6871,0.6974,0.6090,0.5761,0.5865,
RDTChainLabel,Best Subset Accuracy,500,10,2,0.5,,,0.2481,0.2470,0.6232,0.7512,0.7392,0.7451,0.7753,0.5992,0.6047,
RDTChainPercentage,Best Subset Accuracy,500,10,2,0.5,,,0.2636,0.2425,0.6298,0.7523,0.7506,0.7514,0.6919,0.6198,0.6275,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,500,35,2,0.4,0.0,,0.1085,0.2713,0.5807,0.7258,0.7143,0.7200,0.6486,0.5505,0.5243,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,500,5,2,0.4,0.25,,0.1473,0.2602,0.6006,0.7395,0.7211,0.7302,0.5180,0.5528,0.5298,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,500,50,2,0.4,0.5,,0.1938,0.2414,0.6278,0.7551,0.7483,0.7517,0.6781,0.5855,0.5675,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,20,2,0.4,0.75,,0.2248,0.2392,0.6337,0.7574,0.7506,0.7540,0.6413,0.5964,0.5876,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,10,2,0.4,1.0,,0.2248,0.2436,0.6278,0.7517,0.7483,0.7500,0.7016,0.6065,0.6080,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,500,35,2,0.4,0.0,,0.0853,0.2569,0.6026,0.7228,0.7687,0.7451,0.5046,0.6014,0.5460,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,500,35,2,0.4,0.25,,0.1705,0.2425,0.6290,0.7392,0.7778,0.7580,0.6609,0.6124,0.5666,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,500,20,2,0.4,0.5,,0.1783,0.2458,0.6184,0.7461,0.7528,0.7494,0.6208,0.5906,0.5659,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,5,2,0.4,0.75,,0.1938,0.2514,0.6109,0.7512,0.7256,0.7382,0.6202,0.5613,0.5454,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,10,2,0.4,1.0,,0.2248,0.2481,0.6192,0.7506,0.7370,0.7437,0.6745,0.6000,0.6078,

RDTLabel,Best Hamming Loss,500,20,2,,,,0.1628,0.2536,0.6027,0.7387,0.7438,0.7412,0.6385,0.6178,0.6145,
RDTPercentage,Best Hamming Loss,500,5,2,,,,0.1628,0.2403,0.6119,0.7642,0.7347,0.7491,0.6390,0.5801,0.5786,
RDTLabelPowerset,Best Hamming Loss,500,35,2,,,,0.1938,0.2835,0.5704,0.7146,0.6984,0.7064,0.6159,0.6013,0.6059,
RDTChainLabel,Best Hamming Loss,500,10,2,0.35,,,0.2093,0.2370,0.6355,0.7574,0.7574,0.7574,0.6999,0.6156,0.6152,
