RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTLabel,Best Subset Accuracy,500,25,2,,,,0.2973,0.2311,0.3170,0.3380,0.3188,0.3281,0.3838,0.3306,0.3308,
RDTPercentage,Best Subset Accuracy,500,30,2,,,,0.0479,0.1738,0.0479,0.6186,0.0467,0.0868,0.5158,0.0511,0.0809,
RDTLabelPowerset,Best Subset Accuracy,500,30,2,,,,0.2948,0.2327,0.3132,0.3331,0.3142,0.3233,0.3861,0.3279,0.3326,
RDTChainLabel,Best Subset Accuracy,500,30,2,0.4,,,0.2981,0.2311,0.3174,0.3380,0.3188,0.3281,0.3484,0.3098,0.2721,
RDTChainPercentage,Best Subset Accuracy,500,30,2,0.4,,,0.2981,0.2301,0.3174,0.3400,0.3188,0.3291,0.3506,0.3098,0.2732,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,500,20,2,0.4,0.0,,0.1998,0.2622,0.2220,0.2444,0.2302,0.2371,0.2153,0.1828,0.0932,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,500,15,2,0.4,0.25,,0.2287,0.2520,0.2517,0.2750,0.2589,0.2667,0.4285,0.2148,0.1412,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,500,30,2,0.4,0.5,,0.2865,0.2333,0.3087,0.3311,0.3118,0.3212,0.4442,0.2764,0.2217,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,30,2,0.4,0.75,,0.3097,0.2258,0.3314,0.3534,0.3328,0.3428,0.3936,0.3107,0.2610,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,30,2,0.4,1.0,,0.2981,0.2311,0.3174,0.3380,0.3188,0.3281,0.3484,0.3098,0.2721,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,30,2,0.4,1.0,,0.2981,0.2301,0.3174,0.3400,0.3188,0.3291,0.3506,0.3098,0.2732,

RDTLabel,Best Hamming Loss,500,30,2,,,,0.2973,0.2308,0.3174,0.3388,0.3196,0.3289,0.4031,0.3297,0.3352,
RDTPercentage,Best Hamming Loss,500,25,2,,,,0.0454,0.1734,0.0458,0.6444,0.0451,0.0843,0.4929,0.0496,0.0813,
RDTLabelPowerset,Best Hamming Loss,500,30,2,,,,0.2948,0.2327,0.3132,0.3331,0.3142,0.3233,0.3861,0.3279,0.3326,
RDTChainLabel,Best Hamming Loss,500,20,2,0.45,,,0.2956,0.2308,0.3165,0.3388,0.3196,0.3289,0.4031,0.3058,0.2606,
