RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTLabel,Best Subset Accuracy,500,25,2,,,,0.2973,0.2311,0.3170,0.3380,0.3188,0.3281,0.3838,0.3306,0.3308,
RDTPercentage,Best Subset Accuracy,500,30,2,,,,0.0479,0.1738,0.0479,0.6186,0.0467,0.0868,0.5158,0.0511,0.0809,
RDTLabelPowerset,Best Subset Accuracy,500,30,2,,,,0.2948,0.2327,0.3132,0.3331,0.3142,0.3233,0.3861,0.3279,0.3326,
RDTChainLabel,Best Subset Accuracy,500,30,2,0.05,,,0.2948,0.2325,0.3137,0.3339,0.3149,0.3241,0.3946,0.3250,0.3290,
RDTChainPercentage,Best Subset Accuracy,500,25,2,0.35,,,0.2403,0.2453,0.2600,0.2895,0.2652,0.2768,0.3075,0.2620,0.2653,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,500,30,2,0.4,0.0,,0.1693,0.2737,0.1894,0.2097,0.1975,0.2034,0.2863,0.1736,0.1528,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,500,25,2,0.4,0.25,,0.2031,0.2622,0.2236,0.2444,0.2302,0.2371,0.3434,0.2063,0.1894,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,500,25,2,0.4,0.5,,0.2279,0.2531,0.2497,0.2717,0.2558,0.2635,0.3339,0.2353,0.2215,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,25,2,0.4,0.75,,0.2221,0.2553,0.2435,0.2651,0.2496,0.2571,0.2978,0.2373,0.2317,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,30,2,0.4,1.0,,0.2304,0.2545,0.2484,0.2679,0.2527,0.2601,0.2693,0.2465,0.2441,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,15,2,0.4,0.75,,0.0116,0.1903,0.0132,0.1353,0.0140,0.0254,0.3122,0.0149,0.0275,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,30,2,0.4,1.0,,0.2304,0.2530,0.2484,0.2704,0.2527,0.2613,0.2708,0.2465,0.2449,

RDTLabel,Best Hamming Loss,500,30,2,,,,0.2973,0.2308,0.3174,0.3388,0.3196,0.3289,0.4031,0.3297,0.3352,
RDTPercentage,Best Hamming Loss,500,25,2,,,,0.0454,0.1734,0.0458,0.6444,0.0451,0.0843,0.4929,0.0496,0.0813,
RDTLabelPowerset,Best Hamming Loss,500,30,2,,,,0.2948,0.2327,0.3132,0.3331,0.3142,0.3233,0.3861,0.3279,0.3326,
RDTChainLabel,Best Hamming Loss,500,30,2,0.05,,,0.2948,0.2325,0.3137,0.3339,0.3149,0.3241,0.3946,0.3250,0.3290,
