RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTLabel,Best Subset Accuracy,null,null,null,,,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTPercentage,Best Subset Accuracy,null,null,null,,,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTLabelPowerset,Best Subset Accuracy,null,null,null,,,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainLabel,Best Subset Accuracy,null,null,null,null,,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPercentage,Best Subset Accuracy,null,null,null,null,,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,

RDTLabel,Best Hamming Loss,500,5,2,,,,0.0000,0.1620,0.3045,0.4630,0.4636,0.4633,0.1185,0.1622,0.1264,
RDTPercentage,Best Hamming Loss,500,5,2,,,,0.0000,0.1378,0.2005,0.6212,0.2220,0.3271,0.0731,0.0582,0.0561,
RDTLabelPowerset,Best Hamming Loss,500,5,2,,,,0.0000,0.1941,0.2183,0.3558,0.3541,0.3550,0.1708,0.1692,0.1695,
RDTChainLabel,Best Hamming Loss,500,20,2,0.5,,,0.0000,0.1567,0.3100,0.4794,0.4579,0.4684,0.1282,0.1581,0.1255,
RDTChainPercentage,Best Hamming Loss,500,25,2,0.2,,,0.0000,0.1370,0.1953,0.6378,0.2126,0.3189,0.0855,0.0540,0.0509,
