RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTLabel,Best Subset Accuracy,500,35,2,,,,0.1927,0.2077,0.5245,0.6642,0.6317,0.6475,0.4614,0.3674,0.3414,
RDTPercentage,Best Subset Accuracy,500,25,2,,,,0.0760,0.2127,0.4040,0.7595,0.4327,0.5513,0.4135,0.2070,0.2244,
RDTLabelPowerset,Best Subset Accuracy,500,35,2,,,,0.1987,0.2443,0.4687,0.6014,0.5661,0.5832,0.3851,0.3532,0.3553,
RDTChainLabel,Best Subset Accuracy,500,25,2,0.2,,,0.2300,0.2065,0.5350,0.6672,0.6312,0.6487,0.4012,0.3698,0.3434,
RDTChainPercentage,Best Subset Accuracy,500,30,2,0.3,,,0.2180,0.2101,0.5181,0.6678,0.6053,0.6350,0.4053,0.3499,0.3272,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,500,5,2,0.4,0.0,,0.0173,0.2620,0.4557,0.5561,0.6575,0.6026,0.2840,0.3878,0.2930,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,500,5,2,0.4,0.25,,0.0347,0.2637,0.4395,0.5579,0.6112,0.5833,0.2727,0.3389,0.2532,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,500,5,2,0.4,0.5,,0.0620,0.2470,0.4337,0.5962,0.5640,0.5796,0.3060,0.2981,0.2302,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,40,2,0.4,0.75,,0.1753,0.2178,0.5079,0.6451,0.6200,0.6323,0.4931,0.3563,0.3238,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,15,2,0.4,1.0,,0.2000,0.2195,0.5093,0.6443,0.6096,0.6265,0.3802,0.3525,0.3193,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Subset Accuracy,500,5,2,0.4,0.0,,0.0127,0.2311,0.3344,0.7480,0.3538,0.4804,0.1069,0.1429,0.1223,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Subset Accuracy,500,5,2,0.4,0.25,,0.0127,0.2311,0.3344,0.7480,0.3538,0.4804,0.1069,0.1429,0.1223,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Subset Accuracy,500,20,2,0.4,0.5,,0.0173,0.2296,0.3397,0.7501,0.3597,0.4862,0.2347,0.1471,0.1306,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Subset Accuracy,500,35,2,0.4,0.75,,0.1287,0.2121,0.4330,0.7251,0.4792,0.5770,0.4442,0.2440,0.2525,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Subset Accuracy,500,15,2,0.4,1.0,,0.1987,0.2188,0.5081,0.6471,0.6061,0.6260,0.3926,0.3496,0.3180,

RDTLabel,Best Hamming Loss,500,35,2,,,,0.1927,0.2077,0.5245,0.6642,0.6317,0.6475,0.4614,0.3674,0.3414,
RDTPercentage,Best Hamming Loss,500,35,2,,,,0.0760,0.2121,0.4052,0.7614,0.4333,0.5523,0.4203,0.2076,0.2257,
RDTLabelPowerset,Best Hamming Loss,500,20,2,,,,0.1960,0.2374,0.4795,0.6135,0.5782,0.5953,0.3889,0.3617,0.3622,
RDTChainLabel,Best Hamming Loss,500,30,2,0.05,,,0.2040,0.2060,0.5302,0.6674,0.6337,0.6501,0.4001,0.3693,0.3429,
RDTChainPercentage,Best Hamming Loss,500,30,2,0.2,,,0.1867,0.1993,0.4859,0.7278,0.5434,0.6222,0.4383,0.2989,0.3111,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Hamming Loss,500,5,2,0.4,0.0,,0.0173,0.2620,0.4557,0.5561,0.6575,0.6026,0.2840,0.3878,0.2930,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Hamming Loss,500,10,2,0.4,0.25,,0.0173,0.2578,0.4611,0.5620,0.6640,0.6087,0.3644,0.3950,0.3054,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Hamming Loss,500,20,2,0.4,0.5,,0.0593,0.2416,0.4809,0.5908,0.6504,0.6192,0.3652,0.3780,0.3130,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Hamming Loss,500,40,2,0.4,0.75,,0.1753,0.2178,0.5079,0.6451,0.6200,0.6323,0.4931,0.3563,0.3238,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Hamming Loss,500,35,2,0.4,1.0,,0.1980,0.2158,0.5142,0.6507,0.6161,0.6329,0.3834,0.3575,0.3255,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Hamming Loss,500,45,2,0.4,0.0,,0.0127,0.2310,0.3350,0.7482,0.3546,0.4812,0.1664,0.1435,0.1234,
